town,page,url
bree,1,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbt36345
bree,1,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbt37539
bree,1,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbt39326
bree,1,https://immovlan.be/en/detail/ground-floor/for-sale/3960/bree/rbt41294
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt14368
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt19008
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt19940
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt25659
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt41310
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt43383
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt46809
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt47779
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt63068
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt67468
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt67479
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/opitter/rbt19054
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/opitter/rbt30624
bree,1,https://immovlan.be/en/detail/residence/for-sale/3960/opitter/rbt68524
bree,1,https://immovlan.be/en/detail/villa/for-sale/3960/bree/rbt36677
bree,1,https://immovlan.be/en/detail/villa/for-sale/3960/bree/rbt66161
bree,2,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbr30823
bree,2,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbs13005
bree,2,https://immovlan.be/en/detail/apartment/for-sale/3960/bree/rbs58446
bree,2,https://immovlan.be/en/detail/cottage/for-sale/3960/bree/rbs95925
bree,2,https://immovlan.be/en/detail/cottage/for-sale/3960/bree/rbs95954
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbr72791
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbr72792
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbs13006
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbs38119
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbs57452
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt04794
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt04795
bree,2,https://immovlan.be/en/detail/residence/for-sale/3960/bree/rbt04796
